DEMO-Pague/canonical.html-78,1,382,382,382,382,382,382,382,0.000%,2.61780,0.77,0.84
DEMO-Pague/success.txt-80,1,115,115,115,115,115,115,115,0.000%,8.69565,1.87,2.82
DEMO-Pague/success.txt-79,1,63,63,63,63,63,63,63,0.000%,15.87302,3.41,5.15
DEMO-Pague/canonical.html-81,1,83,83,83,83,83,83,83,0.000%,12.04819,3.54,3.88
DEMO-Pague/success.txt-82,1,55,55,55,55,55,55,55,0.000%,18.18182,3.91,5.89
DEMO-Pague/success.txt-83,1,56,56,56,56,56,56,56,0.000%,17.85714,3.84,5.79
DEMO-Pague/canonical.html-84,1,1670,1670,1670,1670,1670,1670,1670,0.000%,.59880,0.18,0.19
DEMO-Pague/canonical.html-85,1,482,482,482,482,482,482,482,0.000%,2.07469,0.61,0.67
DEMO-Pague/success.txt-87,1,900,900,900,900,900,900,900,0.000%,1.11111,0.24,0.36
DEMO-Pague/success.txt-86,1,1729,1729,1729,1729,1729,1729,1729,0.000%,.57837,0.12,0.19
DEMO-Pague/success.txt-88,1,3822,3822,3822,3822,3822,3822,3822,0.000%,.26164,0.06,0.08
DEMO-Pague/success.txt-89,1,155,155,155,155,155,155,155,0.000%,6.45161,1.39,2.09
DEMO-Pague/canonical.html-90,1,249,249,249,249,249,249,249,0.000%,4.01606,1.18,1.29
DEMO-Pague/success.txt-91,1,132,132,132,132,132,132,132,0.000%,7.57576,1.63,2.46
DEMO-Pague/success.txt-92,1,140,140,140,140,140,140,140,0.000%,7.14286,1.53,2.32
DEMO-Pague/canonical.html-93,1,271,271,271,271,271,271,271,0.000%,3.69004,1.08,1.19
DEMO-Pague/success.txt-94,1,146,146,146,146,146,146,146,0.000%,6.84932,1.47,2.22
DEMO-Pague/success.txt-95,1,93,93,93,93,93,93,93,0.000%,10.75269,2.31,3.49
DEMO-Pague/canonical.html-96,1,88,88,88,88,88,88,88,0.000%,11.36364,3.34,3.66
DEMO-Pague/success.txt-97,1,110,110,110,110,110,110,110,0.000%,9.09091,1.95,2.95
DEMO-Pague/success.txt-98,1,71,71,71,71,71,71,71,0.000%,14.08451,3.03,4.57
DEMO-Pague/-99,1,1726,1726,1726,1726,1726,1726,1726,0.000%,.57937,3.22,0.98
DEMO-Pague/canonical.html-102,1,66,66,66,66,66,66,66,0.000%,15.15152,4.45,4.88
DEMO-Pague/success.txt-103,1,56,56,56,56,56,56,56,0.000%,17.85714,3.84,5.79
DEMO-Pague/success.txt-104,1,72,72,72,72,72,72,72,0.000%,13.88889,2.98,4.50
DEMO-Pague/canonical.html-105,1,47,47,47,47,47,47,47,0.000%,21.27660,6.25,6.86
DEMO-Pague/success.txt-106,1,84,84,84,84,84,84,84,0.000%,11.90476,2.56,3.86
DEMO-Pague/success.txt-107,1,48,48,48,48,48,48,48,0.000%,20.83333,4.48,6.75
DEMO-Pague/canonical.html-108,1,46,46,46,46,46,46,46,0.000%,21.73913,6.39,7.01
DEMO-Pague/success.txt-110,1,49,49,49,49,49,49,49,0.000%,20.40816,4.38,6.62
DEMO-Pague/success.txt-109,1,47,47,47,47,47,47,47,0.000%,21.27660,4.57,6.90
DEMO-Pague/canonical.html-111,1,47,47,47,47,47,47,47,0.000%,21.27660,6.25,6.86
DEMO-Pague/success.txt-112,1,56,56,56,56,56,56,56,0.000%,17.85714,3.84,5.79
DEMO-Pague/success.txt-113,1,47,47,47,47,47,47,47,0.000%,21.27660,4.57,6.90
DEMO-Pague/canonical.html-114,1,49,49,49,49,49,49,49,0.000%,20.40816,6.00,6.58
DEMO-Pague/success.txt-116,1,49,49,49,49,49,49,49,0.000%,20.40816,4.38,6.62
DEMO-Pague/success.txt-115,1,48,48,48,48,48,48,48,0.000%,20.83333,4.48,6.75
DEMO-Pague/automation-practice-form/-117,1,574,574,574,574,574,574,574,0.000%,1.74216,3.32,1.14
DEMO-Pague/canonical.html-120,1,74,74,74,74,74,74,74,0.000%,13.51351,3.97,4.35
DEMO-Pague/bundle.js-118,1,1191,1191,1191,1191,1191,1191,1191,0.000%,.83963,650.02,0.35
DEMO-Pague/success.txt-121,1,49,49,49,49,49,49,49,0.000%,20.40816,4.38,6.62
DEMO-Pague/success.txt-122,1,47,47,47,47,47,47,47,0.000%,21.27660,4.57,6.90
DEMO-Pague/main.css-119,1,165,165,165,165,165,165,165,0.000%,6.06061,325.94,2.63
DEMO-Pague/canonical.html-123,1,47,47,47,47,47,47,47,0.000%,21.27660,6.25,6.86
DEMO-Pague/success.txt-125,1,50,50,50,50,50,50,50,0.000%,20.00000,4.30,6.48
DEMO-Pague/success.txt-124,1,47,47,47,47,47,47,47,0.000%,21.27660,4.57,6.90
DEMO-Pague/canonical.html-129,1,48,48,48,48,48,48,48,0.000%,20.83333,6.12,6.71
DEMO-Pague/success.txt-131,1,47,47,47,47,47,47,47,0.000%,21.27660,4.57,6.90
DEMO-Pague/success.txt-130,1,60,60,60,60,60,60,60,0.000%,16.66667,3.58,5.40
DEMO-Pague/images/Toolsqa.jpg-128,1,180,180,180,180,180,180,180,0.000%,5.55556,40.93,2.50
DEMO-Pague/images/gplaypattern.jpg-127,1,144,144,144,144,144,144,144,0.000%,6.94444,30.81,3.04
DEMO-Pague/images/DemoQA_banner_Katalon_Free_Automation_Tools.png-126,1,342,342,342,342,342,342,342,0.000%,2.92398,1028.48,1.42
TOTAL,52,315,72,900,1670,1729,46,3822,0.000%,3.16090,73.54,1.16
